,Time,energy_acc_xyz,orientation_acc_xyz,energy_orientation,energy_acc_xxyyzz,energy_ang_xyz,energy_ang_xyz_regularized,feedingClass,drinkingClass,activity,nonfeedingClass,unixtime,ges
21186,2016-08-23 19:27:47.901000-05:00,0.005721418874827109,3.9167089423325896,3.9224303612074167,14.153616581899062,6.465980198818428,4.989182252174713e-05,0,0,8,0,1471998467901,0
21187,2016-08-23 19:27:47.959000-05:00,0.011615796349670807,3.4146795824237106,3.426295378773381,9.858470643889577,4.178323727031343,3.2240152214748025e-05,0,0,8,0,1471998467959,0
21188,2016-08-23 19:27:48.026000-05:00,0.005168455339004216,2.9925072297485418,2.997675685087547,6.556044082298466,2.1851343346320564,1.686060443388932e-05,0,0,8,0,1471998468026,0
21189,2016-08-23 19:27:48.064000-05:00,0.00030412447544902435,2.8992904218276343,2.899594546303084,5.625295310966659,1.2246917545879918,9.449782057006113e-06,0,0,8,0,1471998468064,0
21190,2016-08-23 19:27:48.151000-05:00,0.001969085164605468,2.873636583493407,2.8756056686580127,5.234042174077733,1.2083432604570907,9.323636268959036e-06,0,0,8,0,1471998468151,0
21191,2016-08-23 19:27:48.215000-05:00,0.0043986731376480384,2.7882336614980763,2.792632334635724,4.4032237553060805,1.3859690177749049,1.0694205384065623e-05,0,0,8,0,1471998468215,0
21192,2016-08-23 19:27:48.266000-05:00,0.0025565685000569155,2.7137605492309858,2.7163171177310432,3.797208493848081,1.1433544820717267,8.822179645615173e-06,0,0,8,0,1471998468266,0
21193,2016-08-23 19:27:48.355000-05:00,0.002991416319430716,2.5799715899152904,2.582963006234721,3.3354723635734294,0.8123794166462505,6.268359696344525e-06,0,0,8,0,1471998468355,0
21194,2016-08-23 19:27:48.404000-05:00,0.006942532515040274,2.4126397904579058,2.4195823229729463,2.9248953386729646,0.42749927033101937,3.298605480949223e-06,0,0,8,0,1471998468404,0
21195,2016-08-23 19:27:48.463000-05:00,0.003740418819986211,2.4282296791487297,2.4319700979687155,2.9284750734233063,0.17725296244540045,1.3676926114614236e-06,0,0,8,0,1471998468463,0
21196,2016-08-23 19:27:48.552000-05:00,0.0016043764717030445,2.526708063849669,2.5283124403213724,3.1704579905806307,0.12109296250184985,9.343592785636563e-07,0,0,8,0,1471998468552,0
21197,2016-08-23 19:27:48.602000-05:00,0.0019807128570890273,2.5525518597356585,2.5545325725927475,3.3094669774257004,0.15811526445100224,1.220025188665141e-06,0,0,8,0,1471998468602,0
21198,2016-08-23 19:27:48.653000-05:00,0.0019778309946680748,2.572424474000128,2.574402304994796,3.5651389120767,0.2064647631696727,1.5930923084079684e-06,0,0,8,0,1471998468653,0
21199,2016-08-23 19:27:48.725000-05:00,0.00023351348927924654,2.5719875707588398,2.5722210842481186,3.7696326651942984,0.1923990141966006,1.4845602947268569e-06,0,0,8,0,1471998468725,0
21200,2016-08-23 19:27:48.801000-05:00,0.0003880829340455319,2.57483043608562,2.575218519019665,3.9241304632046656,0.1577706768339619,1.217366333595385e-06,0,0,8,0,1471998468801,0
21201,2016-08-23 19:27:48.855000-05:00,0.0005912022089539737,2.607441908355004,2.6080331105639583,4.2313474924274335,0.14781719197170862,1.1405647528681223e-06,0,0,8,0,1471998468855,0
21202,2016-08-23 19:27:48.926000-05:00,0.000571873458088404,2.663088698722284,2.663660572180373,4.659818612507088,0.0900351564978765,6.947157137181827e-07,0,0,8,0,1471998468926,0
21203,2016-08-23 19:27:48.978000-05:00,2.562986074587365e-05,2.6881193941045236,2.6881450239652698,4.845720663494234,0.0216529362943772,1.6707512572821914e-07,0,0,8,0,1471998468978,0
21204,2016-08-23 19:27:49.052000-05:00,7.172549985045445e-05,2.675810410923626,2.6758821364234766,4.750401953916623,0.0040008945252254504,3.087109973167786e-08,0,0,8,0,1471998469052,0
21205,2016-08-23 19:27:49.133000-05:00,0.00026092475751684265,2.668114727874061,2.6683756526315783,4.7473169528191335,0.007897545959090552,6.093785462261227e-08,0,0,8,0,1471998469133,0
21206,2016-08-23 19:27:49.176000-05:00,0.00025882677032978903,2.686407419768157,2.686666246538487,4.931340711264693,0.010439972859013272,8.055534613436168e-08,0,0,8,0,1471998469176,0
21207,2016-08-23 19:27:49.237000-05:00,4.04735432995404e-05,2.7120800675903376,2.7121205411336367,5.06758686967784,0.006009432212017361,4.6369075710010496e-08,0,0,8,0,1471998469237,0
21208,2016-08-23 19:27:49.302000-05:00,2.4058370967104026e-05,2.7136341050271535,2.7136581633981205,5.072113368762544,0.004832431411862242,3.7287279412517295e-08,0,0,8,0,1471998469302,0
21209,2016-08-23 19:27:49.377000-05:00,4.533981208400644e-05,2.7067790371978653,2.706824377009949,5.0334204429416864,0.0039087397746319676,3.0160029125246665e-08,0,0,8,0,1471998469377,0
21210,2016-08-23 19:27:49.437000-05:00,2.959720536049715e-05,2.7119489536577763,2.7119785508631367,5.037558741995398,0.008203397363934387,6.329781916616041e-08,0,0,8,0,1471998469437,0
21211,2016-08-23 19:27:49.505000-05:00,9.714314133078238e-05,2.7185807429172493,2.7186778860585803,5.145623948859164,0.014814673985224796,1.1431075605883329e-07,0,0,8,0,1471998469505,0
21212,2016-08-23 19:27:49.576000-05:00,9.230424472135916e-05,2.706719692299845,2.7068119965445674,5.213673162597175,0.021284981372931847,1.6423596738373338e-07,0,0,8,0,1471998469576,0
21213,2016-08-23 19:27:49.628000-05:00,0.0001566911194316517,2.7084860094150294,2.7086427005344613,5.344644370869059,0.02178710126371693,1.6811034925707507e-07,0,0,8,0,1471998469628,0
21214,2016-08-23 19:27:49.701000-05:00,5.5395810050167894e-05,2.7405934508878897,2.740648846697941,5.577710570139262,0.01762631583776609,1.360055234395531e-07,0,0,8,0,1471998469701,0
21215,2016-08-23 19:27:49.776000-05:00,6.110720032733825e-05,2.749304724847841,2.749365832048168,5.685092372274339,0.015053762178168456,1.1615557236241093e-07,0,0,8,0,1471998469776,0
21216,2016-08-23 19:27:49.829000-05:00,1.3469465721138513e-05,2.7274032527665093,2.7274167222322308,5.645412563224522,0.009281993220881557,7.162031806235767e-08,0,0,8,0,1471998469829,0
21217,2016-08-23 19:27:49.902000-05:00,4.348824989134049e-05,2.7327988115891984,2.7328422998390898,5.710564560304251,0.0059924161559046845,4.623777898074602e-08,0,0,8,0,1471998469902,0
21218,2016-08-23 19:27:49.951000-05:00,4.914162903530179e-05,2.7594996800475515,2.759548821676587,5.886166831377918,0.0032044122200724804,2.4725402932658036e-08,0,0,8,0,1471998469951,0
